"","interaction_ID","N10.A_Healthy","N11.B_Healthy","N15.A_Healthy","N16.A_Healthy","N17.A_Healthy","N18.A_Healthy","N20.A_Healthy","N21.A_Healthy","N51.A_Healthy","N46.A_Healthy","N9.B_Inflamed","N12.B_Inflamed","N14.B_Inflamed","N19.B_Inflamed","N24.B_Inflamed","N52.B1a_Inflamed","N111.B1_Inflamed","N44.B_Inflamed","N49.B_Inflamed","N50.B_Inflamed","N106.B_Inflamed","N539.B_Inflamed"
"11","Epithelial:CLDN4_Epithelial:EFNB1",0.192300889340292,0.192300889340292,0.192300889340292,0.192300889340292,0.192300889340292,0.192300889340292,NA,0.192300889340292,0.192300889340292,0.192300889340292,0.192300889340292,0.192300889340292,0.192300889340292,0.192300889340292,0.192300889340292,0.192300889340292,0.192300889340292,0.192300889340292,NA,0.192300889340292,0.192300889340292,0.192300889340292
"12","Epithelial:COPA_Epithelial:CD74",1.08070260025132,1.08070260025132,1.08070260025132,1.08070260025132,1.08070260025132,NA,1.08070260025132,1.08070260025132,1.08070260025132,NA,NA,NA,NA,NA,NA,NA,NA,1.08070260025132,NA,NA,NA,NA
"13","Epithelial:COPA_Epithelial:SORT1",0.363771404797009,0.363771404797009,0.363771404797009,0.363771404797009,0.363771404797009,NA,0.363771404797009,0.363771404797009,0.363771404797009,NA,NA,NA,NA,NA,NA,NA,NA,0.363771404797009,NA,NA,NA,NA
"14","Epithelial:DNAJA3_Epithelial:ERBB2",0.0642870053903815,0.0642870053903815,NA,0.0642870053903815,NA,0.0642870053903815,NA,NA,0.0642870053903815,0.0642870053903815,0.0642870053903815,0.0642870053903815,0.0642870053903815,0.0642870053903815,NA,0.0642870053903815,NA,NA,NA,NA,0.0642870053903815,0.0642870053903815
"15","Epithelial:DSC2_Epithelial:DSG2",2.28361964850647,2.28361964850647,2.28361964850647,2.28361964850647,2.28361964850647,NA,NA,2.28361964850647,2.28361964850647,NA,NA,NA,2.28361964850647,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Epithelial:EFNB1_Epithelial:DAG1",0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,NA,0.175891634195009,NA,0.175891634195009,NA,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,NA,0.175891634195009,0.175891634195009,0.175891634195009
"17","Epithelial:EFNB1_Epithelial:ITLN1",0.928669943314162,0.928669943314162,0.928669943314162,0.928669943314162,0.928669943314162,0.928669943314162,NA,0.928669943314162,0.928669943314162,0.928669943314162,0.928669943314162,0.928669943314162,0.928669943314162,0.928669943314162,0.928669943314162,0.928669943314162,0.928669943314162,0.928669943314162,NA,0.928669943314162,0.928669943314162,0.928669943314162
"18","Epithelial:FADD_Epithelial:TRADD",0.711308510022543,0.711308510022543,NA,0.711308510022543,NA,0.711308510022543,NA,0.711308510022543,NA,NA,0.711308510022543,0.711308510022543,NA,NA,0.711308510022543,NA,NA,0.711308510022543,NA,0.711308510022543,0.711308510022543,NA
"19","Epithelial:FGFR4_Epithelial:SDC4",0.0402977190916093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0402977190916093,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Epithelial:GNAS_Epithelial:VIPR1",0.700453336166036,NA,0.700453336166036,NA,0.700453336166036,NA,0.700453336166036,0.700453336166036,0.700453336166036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
