id_protein,protein_name,tags,tags_reason,tags_description,protein_multidata_id
502,HMGB1_HUMAN,To_add,,,502
503,SPARC_HUMAN,To_add,,,503
504,INHBB_HUMAN,To_add,,,504
505,WNT2_HUMAN,To_add,,,505
506,CD7_HUMAN,To_add,,,506
507,CSF1_HUMAN,To_add,,,507
508,PDGFRB_HUMAN,To_add,,,508
509,GIP_HUMAN,To_add,,,509
510,SCT_HUMAN,To_add,,,510
511,CD3G_HUMAN,To_add,,,511
512,ALOX5_HUMAN,To_add,,,512
513,CSF3_HUMAN,To_add,,,513
514,C4A_HUMAN,To_add,,,514
515,C4B_2_HUMAN,To_add,,,515
516,NPS_HUMAN,To_add,,,516
517,CLEC2L_HUMAN,To_add,,,517
518,CFC1B_HUMAN,To_add,,,518
519,CFC1_HUMAN,To_add,,,519
520,UBB_HUMAN,To_add,,,520
521,UBC_HUMAN,To_add,,,521
522,SAA1_HUMAN,To_add,,,522
523,APELA_HUMAN,To_add,,,523
524,CSH1_HUMAN,To_add,,,524
525,CSH2_HUMAN,To_add,,,525
526,ADORA3_HUMAN,To_add,,,526
527,TMIGD3_HUMAN,To_add,,,527
528,HSPA1A_HUMAN,To_add,,,528
529,CGB8_HUMAN,To_add,,,529
530,CALM1_HUMAN,To_add,,,530
531,CALM2_HUMAN,To_add,,,531
532,CALM3_HUMAN,To_add,,,532
533,SLURP2_HUMAN,To_add,,,533
534,VSIG8_HUMAN,To_add,,,534
535,PYY_HUMAN,To_add,,,535
536,CALCB_HUMAN,To_add,,,536
537,SRGN_HUMAN,To_add,,,537
538,GZMB_HUMAN,To_add,,,538
539,CXCL8_HUMAN,To_add,,,539
540,CCL3_HUMAN,To_add,,,540
541,RNASE2_HUMAN,To_add,,,541
542,AR_HUMAN,To_add,,,542
543,HLA-C_HUMAN,To_add,,,543
544,SPP1_HUMAN,To_add,,,544
545,PTPRF_HUMAN,To_add,,,545
546,TGFB3_HUMAN,To_add,,,546
547,TFPI_HUMAN,To_add,,,547
548,PF4V1_HUMAN,To_add,,,548
549,KIT_HUMAN,To_add,,,549
550,RBP3_HUMAN,To_add,,,550
551,CD28_HUMAN,To_add,,,551
552,FGF6_HUMAN,To_add,,,552
553,CLU_HUMAN,To_add,,,553
554,GHR_HUMAN,To_add,,,554
555,HAPLN1_HUMAN,To_add,,,555
556,CD8B_HUMAN,To_add,,,556
557,IAPP_HUMAN,To_add,,,557
558,LAMC1_HUMAN,To_add,,,558
559,CD37_HUMAN,To_add,,,559
560,HSPA8_HUMAN,To_add,,,560
561,LIPC_HUMAN,To_add,,,561
562,SLC2A2_HUMAN,To_add,,,562
563,ITGAM_HUMAN,To_add,,,563
564,MBL2_HUMAN,To_add,,,564
565,CHRM1_HUMAN,To_add,,,565
566,CHRNB1_HUMAN,To_add,,,566
567,LAMP1_HUMAN,To_add,,,567
568,FGFR1_HUMAN,To_add,,,568
569,FGF3_HUMAN,To_add,,,569
570,SCGB1A1_HUMAN,To_add,,,570
571,IGF2R_HUMAN,To_add,,,571
572,MS4A1_HUMAN,To_add,,,572
573,CD79A_HUMAN,To_add,,,573
574,PCNA_HUMAN,To_add,,,574
575,FGF5_HUMAN,To_add,,,575
576,COL11A1_HUMAN,To_add,,,576
577,COL6A1_HUMAN,To_add,,,577
578,COL6A2_HUMAN,To_add,,,578
579,COL6A3_HUMAN,To_add,,,579
580,PTHLH_HUMAN,To_add,,,580
581,PIP_HUMAN,To_add,,,581
582,FCGR1A_HUMAN,To_add,,,582
583,FCGR2A_HUMAN,To_add,,,583
584,FCER1A_HUMAN,To_add,,,584
585,GZMA_HUMAN,To_add,,,585
586,BMP2_HUMAN,To_add,,,586
587,BMP4_HUMAN,To_add,,,587
588,BMP3_HUMAN,To_add,,,588
589,ACE_HUMAN,To_add,,,589
590,CDH1_HUMAN,To_add,,,590
591,MLN_HUMAN,To_add,,,591
592,SRC_HUMAN,To_add,,,592
593,PEPD_HUMAN,To_add,,,593
594,IFITM1_HUMAN,To_add,,,594
595,GP1BB_HUMAN,To_add,,,595
596,IL7_HUMAN,To_add,,,596
597,CCL4_HUMAN,To_add,,,597
598,TDGF1_HUMAN,To_add,,,598
599,LAMP2_HUMAN,To_add,,,599
600,BMP1_HUMAN,To_add,,,600
601,CCL2_HUMAN,To_add,,,601
602,CCL5_HUMAN,To_add,,,602
603,CFTR_HUMAN,To_add,,,603
604,NCAM1_HUMAN,To_add,,,604
605,ICAM2_HUMAN,To_add,,,605
606,VCAN_HUMAN,To_add,,,606
607,ITGA4_HUMAN,To_add,,,607
608,ATP1A3_HUMAN,To_add,,,608
609,CEACAM1_HUMAN,To_add,,,609
610,OSM_HUMAN,To_add,,,610
611,F3_HUMAN,To_add,,,611
612,HLA-E_HUMAN,To_add,,,612
613,HLA-DRB4_HUMAN,To_add,,,613
614,HLA-DOB_HUMAN,To_add,,,614
615,COL11A2_HUMAN,To_add,,,615
616,ADRB3_HUMAN,To_add,,,616
617,CD59_HUMAN,To_add,,,617
618,GFAP_HUMAN,To_add,,,618
619,EDN3_HUMAN,To_add,,,619
620,SELL_HUMAN,To_add,,,620
621,MIF_HUMAN,To_add,,,621
622,CD99_HUMAN,To_add,,,622
623,HGF_HUMAN,To_add,,,623
624,SI_HUMAN,To_add,,,624
625,DRD2_HUMAN,To_add,,,625
626,NID1_HUMAN,To_add,,,626
627,PLA2G2A_HUMAN,To_add,,,627
628,PKM_HUMAN,To_add,,,628
629,HSP90B1_HUMAN,To_add,,,629
630,GP9_HUMAN,To_add,,,630
631,IL1R1_HUMAN,To_add,,,631
632,MMP9_HUMAN,To_add,,,632
633,IL2RB_HUMAN,To_add,,,633
634,LIF_HUMAN,To_add,,,634
635,ANPEP_HUMAN,To_add,,,635
636,PVR_HUMAN,To_add,,,636
637,IL9_HUMAN,To_add,,,637
638,IFNGR1_HUMAN,To_add,,,638
639,EZR_HUMAN,To_add,,,639
640,CD19_HUMAN,To_add,,,640
641,CSF2RA_HUMAN,To_add,,,641
642,AREG_HUMAN,To_add,,,642
643,CD46_HUMAN,To_add,,,643
