"","interaction_ID","sender_celltype","sender_gene","receiver_celltype","receiver_gene","ligand_log2FC","ligand_p_val_adj","receptor_log2FC","receptor_p_val_adj"
"5173","T:PIK3R1_Mono:CBL","T","PIK3R1","Mono","CBL",NA,NA,NA,NA
"5174","T:PIK3R1_Mono:EPN1","T","PIK3R1","Mono","EPN1",NA,NA,NA,NA
"5175","T:SEMA4D_Mono:PLXNB2","T","SEMA4D","Mono","PLXNB2",NA,NA,NA,NA
"5176","T:TYROBP_Mono:TREM1","T","TYROBP","Mono","TREM1",NA,NA,0.541333516925329,0
"5177","Gran:ANXA2_Mono:DYSF","Gran","ANXA2","Mono","DYSF",NA,NA,NA,NA
"5178","Gran:ANXA2_Mono:TLR2","Gran","ANXA2","Mono","TLR2",NA,NA,NA,NA
"5179","Gran:CD59_Mono:SIGLEC1","Gran","CD59","Mono","SIGLEC1",NA,NA,0.269511973993553,0
"5180","Gran:CD59_Mono:STAB1","Gran","CD59","Mono","STAB1",NA,NA,NA,NA
"5181","Gran:FYN_Mono:SPN","Gran","FYN","Mono","SPN",NA,NA,NA,NA
"5182","Gran:GPI_Mono:AMFR","Gran","GPI","Mono","AMFR",NA,NA,NA,NA
"5183","Gran:GRN_Mono:SORT1","Gran","GRN","Mono","SORT1",NA,NA,NA,NA
"5184","Gran:HLA-DRA_Mono:CD37","Gran","HLA-DRA","Mono","CD37",-0.619118161866378,4.55369147793726e-82,NA,NA
"5185","Gran:HLA-DRA_Mono:CD4","Gran","HLA-DRA","Mono","CD4",-0.619118161866378,4.55369147793726e-82,NA,NA
"5186","Gran:HLA-DRA_Mono:CD53","Gran","HLA-DRA","Mono","CD53",-0.619118161866378,4.55369147793726e-82,0.331852530085835,1.46520245870582e-295
"5187","Gran:HLA-DRA_Mono:CD63","Gran","HLA-DRA","Mono","CD63",-0.619118161866378,4.55369147793726e-82,0.385672705321446,0
"5188","Gran:HLA-DRA_Mono:CD81","Gran","HLA-DRA","Mono","CD81",-0.619118161866378,4.55369147793726e-82,0.330061329354235,0
"5189","Gran:HLA-DRA_Mono:CD82","Gran","HLA-DRA","Mono","CD82",-0.619118161866378,4.55369147793726e-82,NA,NA
"5190","Gran:HLA-DRB1_Mono:CD37","Gran","HLA-DRB1","Mono","CD37",-0.732021020477434,1.21576656649759e-138,NA,NA
