Gene;OverallAverageExpression;case_avg;control_avg
PPP1R8;0,072297956154864326;7,65464492786049e-02;6,87321400404917e-02
THEMIS2;0,387054353865633693;3,90125647776368e-01;3,84476576522022e-01
RPA2;0,159645732992260730;1,39172275887679e-01;1,76829374611565e-01
SMPDL3B;0,002381955727418357;2,34711582202609e-03;2,41119731789587e-03
XKR8;0,034991098387656211;2,93035167155796e-02;3,97647604337995e-02
EYA3;0,037374247872983761;3,97201351707999e-02;3,54053138332154e-02
PTAFR;0,109903530488081741;8,36333051055720e-02;1,31952475906800e-01
DNAJC8;0,535430105540711021;5,69290236782599e-01;5,07010852384243e-01
ATP5IF1;0,689107017507032182;7,12651209543487e-01;6,69346067702421e-01
AL353622.1;0,013173988825054122;1,42003435225463e-02;1,23125558386315e-02
SESN2;0,055413337664465302;7,52796618536495e-02;3,87392706802700e-02
MED18;0,015182005279356115;1,19312793207373e-02;1,79103822989349e-02
PHACTR4;0,215334103577956765;2,33717230499600e-01;1,99904903553257e-01
RCC1;0,034411014530675910;4,07697771741979e-02;2,90740214742348e-02
SNHG3;0,321742789833454557;3,79271481298151e-01;2,73458203019066e-01
TRNAU1AP;0,100965596852109138;9,37743259596721e-02;1,07001325023064e-01
SNHG12;0,093530684726999228;1,19553790836044e-01;7,16891497622535e-02
TAF12;0,161244363577718514;1,61117864853587e-01;1,61350535619385e-01
AL360012.1;0,088023247806912730;6,33729582692061e-02;1,08712559781158e-01
GMEB1;0,109986894229931353;1,13137626154753e-01;1,07342443517085e-01
YTHDF2;0,271630538896501461;2,84940765253731e-01;2,60459090985867e-01
EPB41;0,349777023366915907;3,32981047393163e-01;3,63874106741995e-01
SRSF4;0,517121825229534648;5,65499709163738e-01;4,76517631439538e-01
MECR;0,023364954375739679;2,17528985416085e-02;2,47179740236925e-02
MATN1;0,002381854667108304;3,63341618898280e-03;1,33140263321175e-03
MATN1-AS1;0,012712289404986114;1,51301883323804e-02;1,06829150581033e-02
LAPTM5;1,446639764258453198;1,58116358150773e+00;1,33373215646831e+00
SDC3;0,005945751856500162;8,69117106176999e-03;3,64148543597694e-03
PUM1;0,331319285609388336;3,78233201783813e-01;2,91943819200300e-01
SNRNP40;0,137738040648171162;1,26573344704691e-01;1,47108716685015e-01
ZCCHC17;0,139658860110630945;1,26991314201836e-01;1,50290897874497e-01
AL451070.1;0,001169012821643153;1,87496918399899e-03;5,76494368720261e-04
SERINC2;0,021019589469095764;2,80323948846964e-02;1,51336497183232e-02
LINC01226;0,007811314933522792;5,49620671020333e-03;9,75441569155363e-03
