	gene_symbol	inDB	isLigand	isReceptor	sum_pseudobulkCellType_expr	sum_pseudobulkCellType_expr_threshold	sum_pseudobulkCellType_expr_filter	highly_variable	means	dispersions	dispersions_norm
12810	UBXN2B	False	False	False	20.3183519707054	3	True	False	0.038684019045087385	0.6755540892902873	-0.3343153
12811	UBXN4	False	False	False	290.682764599177	3	True	False	0.49416768315381215	0.8753055511872705	-0.46722788
12812	UBXN6	False	False	False	69.8929194100994	3	True	False	0.14311501227934462	0.7677050137100931	-0.10945423
12813	UBXN7	False	False	False	20.502555248666	3	True	False	0.042481644009336496	0.7338619832409924	-0.19203593
12814	UBXN8	False	False	False	19.5521291142874	3	True	False	0.03143650171174483	0.6393243632127711	-0.42272088
12815	UCHL1	False	False	False	5.61628247930457	3	True	False	0.014249888351917468	0.6093819461562102	-0.49578452
12816	UCHL3	False	False	False	109.844249677575	3	True	False	0.19498563797602786	0.812707610567581	0.00035836644
12817	UCHL5	False	False	False	45.4402401342727	3	True	False	0.08599302257831062	0.7004727935435863	-0.2735102
12818	UCK1	False	False	False	29.2513096173104	3	True	False	0.0539278605178837	0.7214549151947757	-0.2223109
12819	UCK2	False	False	False	36.1906287804533	3	True	False	0.0787782276817161	0.8262823389785902	0.033482593
12820	UCKL1	False	False	False	34.321419112086	3	True	False	0.07110243015987032	0.745947867029395	-0.1625447
12821	UCP2	False	False	False	292.402225119637	3	True	True	0.24970176281813738	1.0201552313842217	0.50655943
12822	UEVLD	False	False	False	21.1390510048817	3	True	False	0.03839790533615432	0.8112016550539889	-0.0033163745
12823	UFC1	False	False	False	442.840156003948	3	True	False	0.6392535431770844	0.8171553367288554	-0.8573259
12824	UFD1L	False	False	False	180.326154650644	3	True	False	0.2935948351695358	0.7676112729120359	-0.10968297
12825	UFL1	False	False	False	57.7179516378415	3	True	False	0.10589796505446093	0.6073011241699728	-0.500862
12826	UFM1	False	False	False	173.783205189384	3	True	False	0.3718767301536564	0.7080250161584527	-0.754459
12827	UFSP1	False	False	False	4.10987028696584	3	True	False	0.010294030891506942	0.7694397418774429	-0.10522125
12828	UFSP2	False	False	False	49.1536366517909	3	True	False	0.09440524375066854	0.6209019140222914	-0.4676742
12829	UGCG	False	False	False	46.7253396416948	3	True	False	0.0739465151117911	0.726590674159691	-0.20977893
12830	UGDH	False	False	False	112.338667983059	3	True	True	0.24759124311520686	1.1891146953885017	0.918844
12831	UGGT1	False	False	False	30.9821244133185	3	True	False	0.061895113771965465	0.6661610644981294	-0.35723558
12832	UGGT2	False	False	False	13.782553364587	3	True	False	0.0296085930997246	0.6216247216213614	-0.46591046
12833	UGP2	False	False	False	290.753512550064	3	True	False	0.4627663230541307	1.208312493552141	0.10456592
12834	UGT2A3	False	False	False	20.8358441577828	3	True	True	0.07394074114881337	1.2538777367145433	1.0768749
12835	UGT2B17	False	False	False	223.967945532141	3	True	True	0.495736811330081	2.54519628840146	2.4000793
12836	UGT2B7	False	False	False	4.21797464740439	3	True	False	0.011847834137674151	0.9773254448137513	0.40204877
12837	UGT8	False	False	False	14.279163973216	3	True	False	0.03886214545499044	0.8652639787945614	0.12860322
12838	UHMK1	False	False	False	49.6060318145407	3	True	False	0.08658391019925268	0.7298835928742239	-0.20174375
12839	UHRF1	False	False	False	11.5409228805855	3	True	False	0.02272777718480577	0.8097857244220443	-0.006771442
12840	UHRF1BP1	False	False	False	6.96094143675635	3	True	False	0.012217708499337013	0.5527580937665406	-0.6339546
12841	UHRF1BP1L	False	False	False	11.7252728672138	3	True	False	0.02026499754407621	0.6361498127514202	-0.43046722
12842	UHRF2	False	False	False	18.7804241201663	3	True	False	0.038013520995088285	0.6574278598490695	-0.37854582
12843	UIMC1	False	False	False	24.9476240842306	3	True	False	0.04538568081473957	0.6470548059076905	-0.4038575
12844	ULBP2	True	True	False	4.57619001592442	3	True	False	0.0035540794327867157	0.3253371607727255	-1.1888933
12845	ULK1	False	False	False	9.47589571178341	3	True	False	0.021744638900842304	0.7683520741291727	-0.10787531
12846	ULK2	False	False	False	7.62294165865886	3	True	False	0.011541769283062492	0.6738935214095845	-0.3383673
12847	ULK3	False	False	False	30.048270411024	3	True	False	0.06979834996805938	0.8694631100414058	0.13884968
12848	ULK4	False	False	False	7.09016110595058	3	True	False	0.012424682308173778	0.5225083871333774	-0.7077681
12849	UMPS	False	False	False	33.4950784189808	3	True	False	0.06478658391965587	0.8262068546268911	0.0332984
12850	UNC119	False	False	False	50.049725239024	3	True	False	0.07706859073448692	0.6432378386934122	-0.41317144
12851	UNC119B	False	False	False	12.181175239367	3	True	False	0.025166410422003647	0.8571220200397686	0.1087357
12852	UNC13B	False	False	False	17.9140035994407	3	True	False	0.042001669782801544	0.8514563124514276	0.094910584
12853	UNC13D	False	False	False	32.750660779358	3	True	False	0.0537907576775311	0.7697464151349703	-0.10447292
12854	UNC45A	False	False	False	38.0759303912075	3	True	False	0.07471962636248757	0.7428088926371745	-0.17020422
12855	UNC50	False	False	False	106.670646448993	3	True	False	0.18277176630189318	0.6393689882170884	-0.42261198
12856	UNC5B	True	False	True	23.9765228945141	3	True	False	0.03935739586723313	0.8184968679140625	0.01448496
12857	UNC5C	True	True	True	4.86060279906793	3	True	False	0.010844506708207947	0.7275847028380514	-0.20735337
12858	UNC93B1	False	False	False	64.9559949232768	3	True	False	0.1320287440057207	0.6383934028608077	-0.42499253
12859	UNG	False	False	False	35.4863689969443	3	True	False	0.07564139312448721	0.8798125212501354	0.16410367
12860	UNK	False	False	False	31.8007801365958	3	True	False	0.07147719070289033	0.6188575214280986	-0.4726628
12861	UNKL	False	False	False	13.4092135638792	3	True	False	0.029360591564553288	0.6107148974717924	-0.49253193
12862	UPB1	False	False	False	5.26725919109181	3	True	False	0.008841719664204214	0.7489695273171573	-0.15517142
12863	UPF1	False	False	False	27.9584419411569	3	True	False	0.060639045221972714	0.7117411266226846	-0.2460139
12864	UPF2	False	False	False	97.5124720651476	3	True	False	0.2103689460122655	0.7581224196934758	-0.13283709
12865	UPF3A	False	False	False	94.7449417200576	3	True	False	0.17259301819299963	0.6664466414711447	-0.35653874
12866	UPF3B	False	False	False	54.7344889020992	3	True	False	0.10242866306448893	0.7847267271501943	-0.06791888
12867	UPK3B	False	False	False	9.01334910683786	3	True	False	0.013783678922943472	0.7590915427650984	-0.13047229
12868	UPP1	False	False	False	123.599162193764	3	True	True	0.1825407578871594	1.0864605554019855	0.6683536
12869	UPRT	False	False	False	19.8314228103451	3	True	False	0.030842607952670954	0.6841966313316419	-0.31322628
12870	UQCC1	False	False	False	21.9677091819195	3	True	False	0.047726941893304384	0.7524947901590011	-0.14656928
12871	UQCC2	False	False	False	199.368539281624	3	True	False	0.36872289237264766	0.8914295460952751	-0.43954197
12872	UQCR10	False	False	False	1075.26105064451	3	True	False	1.2221427213320357	1.7523862057528998	-0.1950158
12873	UQCR11	False	False	False	1464.34023199198	3	True	False	1.4085709804300341	1.6419115049681579	-0.5112252
12874	UQCRB	False	False	False	1118.59837340936	3	True	False	1.1993609231989903	1.3663958783653503	-0.59318376
12875	UQCRC1	False	False	False	422.452213481091	3	True	False	0.7254268937299524	1.5332837733833364	0.20830086
12876	UQCRC2	False	False	False	393.15767428608	3	True	False	0.6132168605326876	1.3312385223826018	0.31563762
12877	UQCRFS1	False	False	False	538.86068503857	3	True	False	0.802547953963933	1.466798069172695	0.109367564
12878	UQCRH	False	False	False	1499.11838722541	3	True	False	1.5167215868859245	1.81774627847181	-0.35273722
12879	UQCRQ	False	False	False	1558.74146548031	3	True	False	1.575577669508912	1.9513062519600686	-0.28669748
12880	URAD	False	False	False	91.2160976406784	3	True	True	0.19348327873318272	1.4615597092713097	1.5836477
