cluster,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Mono,UBXN11,7.538806939781638e-269,0.27113945661400013,0.464,0.192,1.1888698544035643e-264
Mono,CXCL3,9.339774885868339e-268,0.28040865042331303,0.199,0.035,1.472882499501437e-263
Mono,PDLIM5,1.3160446371315348e-266,0.26815432955128227,0.439,0.173,2.0754023927564304e-262
Mono,PRELID1,1.329921714552264e-264,-0.27978277198927304,0.669,0.731,2.0972865438489204e-260
Mono,SBDS,1.3493005689468376e-264,0.28579553033093114,0.492,0.221,2.127846997229163e-260
Mono,KLF10,1.5248000840905614e-263,0.3374314026254116,0.728,0.453,2.4046097326108154e-259
Mono,SNHG5,6.292103353933817e-262,-0.3151437175660817,0.625,0.706,9.922646989153629e-258
Mono,DNAJA1,2.729463552844365e-259,0.32522670190563474,0.649,0.369,4.304364022835564e-255
Mono,ADGRE5,5.370822549284102e-254,0.3164042662718737,0.71,0.403,8.46978716022103e-250
Mono,CYCS,8.490871896179078e-251,0.300838583337945,0.587,0.304,1.3390104980274405e-246
Mono,SELENOW,1.8416480386417092e-250,0.3063455693942211,0.64,0.359,2.9042789569379753e-246
Mono,CSRNP1,4.6054387693966197e-250,0.26551455506833954,0.456,0.195,7.262776939338469e-246
Mono,MEF2C,2.305304955822837e-249,-0.38535072347877575,0.155,0.355,3.6354659153326137e-245
Mono,FOLR3,2.681225095686287e-249,0.2730177730646937,0.458,0.186,4.228291975897275e-245
Mono,ATF3,1.0777269136859867e-248,0.2902048464293196,0.486,0.222,1.699575342882801e-244
Mono,CMTM6,5.859547176766278e-244,-0.3322253915024789,0.479,0.618,9.24050589776042e-240
Mono,ALOX5AP,2.8320025210777735e-243,0.34533322851080833,0.484,0.24,4.466067975739649e-239
Mono,ARMH1,6.626367211436364e-243,0.2898549105221169,0.382,0.16,1.0449781092435147e-238
Mono,H1F0,7.836151022366354e-242,0.28667236070522856,0.287,0.094,1.235761016227174e-237
Mono,ST8SIA4,9.507782921593882e-242,0.252036418831695,0.405,0.163,1.499377366735355e-237
Mono,PTX3,1.5362415364287855e-240,0.2551842963507672,0.279,0.086,2.4226529029481945e-236
Mono,LGALS9,1.139433494963637e-239,0.2851993570746971,0.612,0.317,1.7968866215576557e-235
Mono,TMEM30A,1.8109690282649554e-236,0.2675714744377549,0.483,0.221,2.8558981575738347e-232
